pokemon_1,pokemon_2,pokemon_3,pokemon_4,pokemon_5,pokemon_6
Gholdengo,Dondozo,Slowking-Galar,Ting-Lu,Rillaboom,Cinderace
Ribombee,Rillaboom,Gholdengo,Iron Moth,Great Tusk,Samurott-Hisui
Heatran,Gliscor,Iron Valiant,Amoonguss,Zamazenta-*,Tornadus-Therian
Ribombee,Iron Valiant,Dragapult,Gholdengo,Samurott-Hisui,Manaphy
Ribombee,Rillaboom,Gholdengo,Iron Moth,Great Tusk,Samurott-Hisui
Clodsire,Dragapult,Great Tusk,Gliscor,Ursaluna-Bloodmoon,Iron Moth
Roaring Moon,Kingambit,Gholdengo,Glimmora,Ceruledge,Iron Valiant
Ribombee,Rillaboom,Gholdengo,Iron Moth,Great Tusk,Samurott-Hisui
Rillaboom,Cinderace,Ogerpon-Wellspring,Kingambit,Gliscor,Sneasler
Zapdos,Kingambit,Dragonite,Gholdengo,Great Tusk,Samurott-Hisui
Clefable,Infernape,Iron Valiant,Cinderace,Kingambit,Zapdos
Rillaboom,Cinderace,Ogerpon-Wellspring,Kingambit,Gliscor,Sneasler
Heatran,Gliscor,Iron Valiant,Amoonguss,Zamazenta-*,Tornadus-Therian
Ursaluna-Bloodmoon,Kingambit,Iron Valiant,Dragapult,Glimmora,Manaphy
Heatran,Gliscor,Iron Valiant,Amoonguss,Zamazenta-*,Tornadus-Therian
Iron Moth,Sneasler,Ursaluna-Bloodmoon,Glimmora,Rillaboom,Kingambit
Kingambit,Ribombee,Dragonite,Greninja-*,Great Tusk,Snorlax
Sneasler,Maushold,Hatterene,Indeedee,Armarouge,Polteageist
Ogerpon-Wellspring,Heatran,Lokix,Great Tusk,Dragapult,Mamoswine
Amoonguss,Gholdengo,Ogerpon-Cornerstone,Iron Valiant,Ting-Lu,Sandy Shocks
Weavile,Landorus-Therian,Jirachi,Rillaboom,Heatran,Cyclizar
Gliscor,Samurott-Hisui,Zapdos,Slowking,Clefable,Cinderace
Alomomola,Gholdengo,Blissey,Dondozo,Clodsire,Corviknight
Gholdengo,Ting-Lu,Chien-Pao,Great Tusk,Dondozo,Dragapult
Mamoswine,Cinderace,Dragonite,Greninja-*,Enamorus,Ogerpon-Wellspring
Zapdos,Toxapex,Cinderace,Great Tusk,Kingambit,Clefable
Espathra,Azumarill,Great Tusk,Gholdengo,Glimmora,Iron Moth
Toxapex,Dragapult,Roaring Moon,Gholdengo,Garchomp,Corviknight
Kingambit,Slowking,Enamorus,Great Tusk,Iron Valiant,Sneasler
Iron Treads,Dragonite,Zamazenta-*,Enamorus,Kingambit,Walking Wake
Landorus-Therian,Samurott-Hisui,Rillaboom,Heatran,Dragapult,Weezing-Galar
Ogerpon-Hearthflame,Torkoal,Walking Wake,Hatterene,Great Tusk,Enamorus
Garchomp,Gholdengo,Toxapex,Garganacl,Great Tusk,Iron Valiant
Kommo-o,Ninetales-Alola,Baxcalibur,Landorus-Therian,Manaphy,Jirachi
Lycanroc,Tyranitar,Meowscarada,Corviknight,Great Tusk,Gholdengo
Toxapex,Dragapult,Roaring Moon,Gholdengo,Garchomp,Corviknight
Torkoal,Walking Wake,Iron Moth,Great Tusk,Ogerpon-Hearthflame,Kingambit
Landorus-Therian,Samurott-Hisui,Rillaboom,Heatran,Dragapult,Weezing-Galar
Ninetales-Alola,Baxcalibur,Weavile,Landorus-Therian,Iron Valiant,Manaphy
Alomomola,Orthworm,Ursaluna-Bloodmoon,Empoleon,Dragapult,Weezing-Galar
Roaring Moon,Breloom,Indeedee,Polteageist,Cinderace,Quaquaval
Lokix,Sandy Shocks,Azumarill,Gholdengo,Great Tusk,Hatterene
Chi-Yu,Corviknight,Great Tusk,Glimmora,Dragapult,Lokix
Iron Hands,Corviknight,Dondozo,Clodsire,Dragonite,Chi-Yu
Chien-Pao,Slowking,Tyranitar,Dragapult,Great Tusk,Chi-Yu
Torkoal,Chi-Yu,Glimmora,Dragonite,Great Tusk,Gholdengo
Kingambit,Chi-Yu,Tauros-Paldea-Water,Dondozo,Annihilape,Chien-Pao
Dragapult,Roaring Moon,Great Tusk,Kingambit,Rotom-Wash,Skeledirge
Walking Wake,Torkoal,Roaring Moon,Great Tusk,Hatterene,Sandy Shocks
Roaring Moon,Meowscarada,Great Tusk,Dragonite,Gholdengo,Azumarill
Chien-Pao,Slowking,Tyranitar,Dragapult,Great Tusk,Chi-Yu
Garganacl,Chi-Yu,Iron Valiant,Baxcalibur,Iron Treads,Chien-Pao
Gholdengo,Kommo-o,Roaring Moon,Ribombee,Dragonite,Kingambit
Dragonite,Gholdengo,Samurott-Hisui,Clodsire,Greninja-*,Cinderace
Mandibuzz,Gliscor,Dondozo,Slowking-Galar,Blissey,Dragapult
Gholdengo,Kommo-o,Roaring Moon,Ribombee,Great Tusk,Kingambit
Dragapult,Great Tusk,Kingambit,Rotom-Wash,Magnezone,Iron Valiant
Torkoal,Great Tusk,Roaring Moon,Klefki,Dragonite,Skeledirge
Roaring Moon,Dondozo,Corviknight,Meowscarada,Iron Moth,Hatterene
Chien-Pao,Slowking,Tyranitar,Dragapult,Great Tusk,Chi-Yu
Okidogi,Ogerpon-Wellspring,Moltres,Iron Treads,Rillaboom,Armarouge
Gholdengo,Manaphy,Roaring Moon,Ribombee,Iron Moth,Kingambit
Gholdengo,Kommo-o,Roaring Moon,Ribombee,Dragonite,Kingambit
Corviknight,Clodsire,Dondozo,Kingambit,Iron Valiant,Garganacl
Hatterene,Kingambit,Azelf,Dragonite,Maushold,Baxcalibur
Dragonite,Walking Wake,Iron Moth,Roaring Moon,Baxcalibur,Kingambit
Cinderace,Meowscarada,Greninja-*,Iron Valiant,Grimmsnarl,Kingambit
Gholdengo,Manaphy,Roaring Moon,Ribombee,Ogerpon-Wellspring,Kingambit
Great Tusk,Walking Wake,Iron Moth,Torkoal,Sandy Shocks,Kingambit
Walking Wake,Kingambit,Garganacl,Slowking-Galar,Moltres,Great Tusk
Gallade,Drifblim,Bronzong,Grimmsnarl,Alomomola,Delibird
Gholdengo,Iron Moth,Kommo-o,Ribombee,Great Tusk,Ting-Lu
Kommo-o,Baxcalibur,Ninetales-Alola,Garchomp,Iron Moth,Kingambit
Gholdengo,Roaring Moon,Enamorus,Great Tusk,Iron Moth,Zapdos
Torterra,Azelf,Cinderace,Manaphy,Ninetales-Alola,Kingambit
Ogerpon-Hearthflame,Walking Wake,Kommo-o,Torkoal,Roaring Moon,Cinderace
Landorus-Therian,Baxcalibur,Zamazenta-*,Alomomola,Empoleon,Clefable
Kommo-o,Baxcalibur,Ninetales-Alola,Garchomp,Iron Moth,Kingambit
Tyranitar,Ogerpon-Wellspring,Great Tusk,Houndstone,Azumarill,Heatran
Gholdengo,Manaphy,Roaring Moon,Ribombee,Iron Moth,Kingambit
Garganacl,Goodra-Hisui,Florges,Dondozo,Chesnaught,Cinderace
Greninja-*,Pelipper,Kingambit,Zapdos,Ting-Lu,Basculegion
Samurott-Hisui,Arcanine-Hisui,Roaring Moon,Moltres-Galar,Dragapult,Urshifu-*
Ursaluna,Magearna,Torkoal,Slowking,Corviknight,Breloom
Garganacl,Florges,Goodra-Hisui,Dondozo,Chesnaught,Cinderace
Iron Moth,Iron Treads,Baxcalibur,Kingambit,Iron Valiant,Dragonite
Gliscor,Gholdengo,Clefable,Samurott-Hisui,Dragonite,Great Tusk
Tornadus,Ogerpon-Hearthflame,Ursaluna,Brambleghast,Shiftry,Enamorus
Garganacl,Goodra-Hisui,Florges,Dondozo,Chesnaught,Cinderace
Sneasler,Gholdengo,Ting-Lu,Dragonite,Great Tusk,Samurott-Hisui
Bellibolt,Meowscarada,Heatran,Toxapex,Hatterene,Landorus-Therian
Kingambit,Iron Valiant,Cresselia,Samurott-Hisui,Great Tusk,Sneasler
Tinkaton,Kleavor,Hydreigon,Basculegion-F,Clodsire,Hawlucha
Samurott-Hisui,Kingambit,Sandy Shocks,Gholdengo,Iron Valiant,Walking Wake
Samurott-Hisui,Kingambit,Sandy Shocks,Gholdengo,Iron Valiant,Walking Wake
Tinkaton,Kleavor,Hydreigon,Clodsire,Hawlucha,Basculegion-F
Dragonite,Ninetales-Alola,Kingambit,Clefable,Ogerpon-Wellspring,Great Tusk
Kingambit,Gliscor,Dondozo,Amoonguss,Gholdengo,Tornadus-Therian
Bellibolt,Baxcalibur,Meowscarada,Toxapex,Gholdengo,Great Tusk
Blissey,Amoonguss,Corviknight,Dondozo,Great Tusk,Toxapex
Ursaluna-Bloodmoon,Ogerpon-Hearthflame,Gholdengo,Zapdos,Cinderace,Enamorus
Ambipom,Scizor,Ogerpon,Greninja-*,Cinderace,Conkeldurr
Gliscor,Clefable,Dondozo,Tornadus-Therian,Toxapex,Blissey
Tinkaton,Basculegion,Pelipper,Magnezone,Amoonguss,Meowscarada
Ninetales-Alola,Baxcalibur,Sandslash-Alola,Volcanion,Ursaluna-Bloodmoon,Tornadus-Therian
Manaphy,Ribombee,Greninja-*,Kingambit,Kommo-o,Glimmora
Ursaluna-Bloodmoon,Cinderace,Dragonite,Zapdos,Munkidori,Meowscarada
Sneasler,Clefable,Kingambit,Ursaluna-Bloodmoon,Gliscor,Rotom-Wash
Manaphy,Ribombee,Greninja-*,Kingambit,Kommo-o,Glimmora
Empoleon,Landorus-Therian,Munkidori,Roaring Moon,Dragapult,Samurott-Hisui
Rillaboom,Ogerpon,Cinderace,Ursaluna-Bloodmoon,Enamorus,Sneasler
Manaphy,Pelipper,Basculegion,Zapdos,Greninja-*,Kingambit
Iron Moth,Great Tusk,Kingambit,Dragonite,Iron Valiant,Ursaluna-Bloodmoon
Kingambit,Glimmora,Zamazenta-*,Iron Valiant,Iron Moth,Ogerpon-Wellspring
Zapdos,Cinderace,Clodsire,Ursaluna-Bloodmoon,Kingambit,Great Tusk
Pelipper,Barraskewda,Zapdos,Rillaboom,Great Tusk,Kingambit
Gliscor,Clefable,Dondozo,Tornadus-Therian,Toxapex,Blissey
Torkoal,Walking Wake,Ogerpon-Hearthflame,Roaring Moon,Great Tusk,Kingambit
Gliscor,Corviknight,Toxapex,Great Tusk,Dragapult,Weavile
Zapdos,Ogerpon-Wellspring,Cinderace,Clodsire,Ursaluna-Bloodmoon,Kingambit
Blissey,Ditto,Dondozo,Toxapex,Alomomola,Ting-Lu
Masquerain,Dragapult,Great Tusk,Glimmora,Cresselia,Wo-Chien
Torkoal,Walking Wake,Iron Moth,Lilligant,Great Tusk,Meowscarada
Enamorus,Slowking-Galar,Zamazenta-*,Great Tusk,Kingambit,Dragonite
Ursaluna,Great Tusk,Rotom-Wash,Dragapult,Cinderace,Sneasler
Zapdos,Pelipper,Overqwil,Arboliva,Floatzel,Sneasler
Ting-Lu,Iron Valiant,Amoonguss,Dondozo,Cinderace,Zapdos
Torkoal,Walking Wake,Iron Moth,Lilligant,Great Tusk,Meowscarada
Thundurus-Therian,Goodra-Hisui,Cinderace,Landorus-Therian,Iron Valiant,Kingambit
Torkoal,Walking Wake,Iron Moth,Lilligant,Great Tusk,Meowscarada
Samurott-Hisui,Iron Valiant,Baxcalibur,Kingambit,Gholdengo,Enamorus
Torkoal,Walking Wake,Iron Moth,Lilligant,Great Tusk,Glimmora
Samurott-Hisui,Baxcalibur,Slowking,Ursaluna,Zapdos,Maushold-Four
Torkoal,Walking Wake,Iron Moth,Lilligant,Great Tusk,Meowscarada
Pelipper,Floatzel,Arboliva,Zapdos,Overqwil,Meowscarada
Arcanine-Hisui,Masquerain,Gholdengo,Glimmora,Baxcalibur,Iron Valiant
Grimmsnarl,Dragonite,Iron Moth,Landorus-Therian,Maushold-Four,Enamorus-Therian
Torkoal,Walking Wake,Iron Moth,Lilligant,Great Tusk,Meowscarada
Rillaboom,Ogerpon,Cinderace,Weezing-Galar,Great Tusk,Slowking-Galar
Tinkaton,Basculegion,Pelipper,Magnezone,Amoonguss,Meowscarada
Tinkaton,Iron Moth,Gholdengo,Corviknight,Azumarill,Garchomp
Alomomola,Bronzong,Blissey,Spiritomb,Coalossal,Ditto
Tinkaton,Corviknight,Iron Moth,Azumarill,Ting-Lu,Iron Valiant
Magearna,Drifblim,Clodsire,Skeledirge,Toxapex,Blissey
Tinkaton,Iron Moth,Gholdengo,Corviknight,Great Tusk,Azumarill
Hydreigon,Gengar,Dondozo,Great Tusk,Azumarill,Volcanion
Baxcalibur,Glimmora,Kingambit,Gholdengo,Dragonite,Iron Valiant
Tinkaton,Corviknight,Torkoal,Walking Wake,Lilligant,Great Tusk
Arcanine-Hisui,Masquerain,Zoroark-Hisui,Kingambit,Great Tusk,Gastrodon-East
Tinkaton,Iron Moth,Gholdengo,Corviknight,Great Tusk,Glimmora
Tinkaton,Iron Moth,Gholdengo,Corviknight,Azumarill,Garchomp
Azumarill,Dragapult,Sandy Shocks,Dragonite,Urshifu-*,Moltres-Galar
Tinkaton,Corviknight,Iron Moth,Azumarill,Ting-Lu,Rotom-Wash
Zamazenta-*,Abomasnow,Magearna,Skeledirge,Cresselia,Mew
Tornadus-Therian,Magearna,Ursaluna,Regieleki,Sneasler,Clodsire
Corviknight,Pelipper,Basculegion,Bellibolt,Amoonguss,Chien-Pao
Tinkaton,Iron Moth,Gholdengo,Corviknight,Azumarill,Garchomp
Urshifu-*,Slowking-Galar,Great Tusk,Dragapult,Zapdos,Garganacl
Torkoal,Walking Wake,Great Tusk,Hatterene,Arcanine-Hisui,Kingambit
Dragapult,Indeedee,Baxcalibur,Veluza,Iron Moth,Masquerain
Dragapult,Clodsire,Kingambit,Great Tusk,Skeledirge,Dragonite
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Glimmora
Greninja,Pelipper,Floatzel,Amoonguss,Iron Treads,Kingambit
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Tinkaton
Dragapult,Tinkaton,Baxcalibur,Corviknight,Indeedee,Veluza
Hydreigon,Skeledirge,Slowking,Corviknight,Dragapult,Great Tusk
Kingambit,Baxcalibur,Glimmora,Iron Valiant,Iron Moth,Great Tusk
Dragapult,Tinkaton,Baxcalibur,Corviknight,Indeedee,Veluza
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Tinkaton
Cinderace,Great Tusk,Dragapult,Breloom,Meowscarada,Kingambit
Dragapult,Tinkaton,Baxcalibur,Veluza,Indeedee,Maushold-Four
Baxcalibur,Spidops,Hydreigon,Great Tusk,Ceruledge,Gholdengo
Wo-Chien,Scizor,Iron Moth,Dragapult,Great Tusk,Slowking
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Gengar
Chesnaught,Iron Moth,Slowking,Dragapult,Corviknight,Ting-Lu
Dragapult,Tinkaton,Baxcalibur,Corviknight,Indeedee,Veluza
Dragapult,Tinkaton,Baxcalibur,Corviknight,Indeedee,Veluza
Iron Moth,Great Tusk,Gholdengo,Baxcalibur,Ting-Lu,Dragonite
Dragapult,Tinkaton,Baxcalibur,Corviknight,Indeedee,Veluza
Baxcalibur,Toxapex,Corviknight,Zoroark-Hisui,Iron Valiant,Kingambit
Glimmora,Orthworm,Azumarill,Veluza,Frosmoth,Eiscue
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Glimmora
Dragonite,Iron Moth,Torkoal,Lilligant,Great Tusk,Roaring Moon
Kingambit,Cinderace,Garchomp,Volcarona,Corviknight,Zoroark-Hisui
Amoonguss,Tyranitar,Great Tusk,Skeledirge,Corviknight,Walking Wake
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Glimmora
Garganacl,Rotom-Wash,Great Tusk,Kingambit,Volcarona,Dragapult
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Masquerain
Torkoal,Walking Wake,Roaring Moon,Hatterene,Iron Hands,Bronzong
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Glimmora
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Glimmora
Baxcalibur,Orthworm,Great Tusk,Ting-Lu,Dragapult,Corviknight
Baxcalibur,Kingambit,Armarouge,Hatterene,Cinderace,Great Tusk
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Glimmora
Great Tusk,Gholdengo,Kingambit,Meowscarada,Rotom-Wash,Dragonite
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Oricorio-Pom-Pom
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Glimmora
Maushold,Magnezone,Slowking,Amoonguss,Meowscarada,Cinderace
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Glimmora
Greninja,Hydreigon,Slowking,Great Tusk,Toxapex,Kingambit
Cetitan,Abomasnow,Rotom-Wash,Skeledirge,Grimmsnarl,Great Tusk
Gholdengo,Orthworm,Dragapult,Indeedee,Armarouge,Veluza
Rotom-Wash,Cinderace,Gholdengo,Baxcalibur,Ting-Lu,Corviknight
Glimmora,Skeledirge,Kingambit,Quaquaval,Hydreigon,Meowscarada
Indeedee,Armarouge,Veluza,Orthworm,Dragapult,Iron Treads
Baxcalibur,Great Tusk,Breloom,Gholdengo,Kingambit,Iron Valiant
Dragapult,Iron Moth,Dondozo,Slowking,Iron Hands,Glimmora
Orthworm,Indeedee,Baxcalibur,Veluza,Dragapult,Iron Valiant
Lilligant-Hisui,Mimikyu,Salamence,Brute Bonnet,Cetitan,Azelf
Dragapult,Kingambit,Slowking-Galar,Great Tusk,Corviknight,Rotom-Wash
Magnezone,Blissey,Iron Hands,Corviknight,Baxcalibur,Glimmora
Salamence,Gholdengo,Scizor,Great Tusk,Azumarill,Greninja
Baxcalibur,Clodsire,Gholdengo,Garchomp,Great Tusk,Iron Valiant
Baxcalibur,Orthworm,Veluza,Indeedee,Dragapult,Iron Treads
Baxcalibur,Orthworm,Veluza,Indeedee,Iron Valiant,Dragapult
Indeedee,Armarouge,Polteageist,Volcarona,Great Tusk,Hatterene
Scream Tail,Orthworm,Baxcalibur,Ceruledge,Indeedee,Veluza
Iron Leaves,Garganacl,Corviknight,Zoroark-Hisui,Iron Valiant,Azumarill
Glimmora,Skeledirge,Kingambit,Quaquaval,Hydreigon,Meowscarada
Cinderace,Slowking,Great Tusk,Greninja,Kingambit,Dragonite
Dragapult,Great Tusk,Samurott-Hisui,Skeledirge,Clodsire,Enamorus
Samurott-Hisui,Gholdengo,Amoonguss,Landorus-Therian,Dragapult,Great Tusk
Ting-Lu,Gholdengo,Enamorus,Great Tusk,Volcanion,Amoonguss
Zapdos,Slowking-Galar,Gholdengo,Corviknight,Great Tusk,Landorus-Therian
Kingambit,Zapdos,Slowking-Galar,Azumarill,Sandy Shocks,Enamorus
Zapdos,Slowking-Galar,Corviknight,Great Tusk,Landorus-Therian,Dragapult
Corviknight,Great Tusk,Slowking-Galar,Landorus-Therian,Zapdos,Gholdengo
Zapdos,Samurott-Hisui,Enamorus,Orthworm,Clodsire,Great Tusk
Dragapult,Great Tusk,Zapdos,Toxapex,Ting-Lu,Heatran
Sandy Shocks,Dragonite,Iron Valiant,Iron Moth,Kingambit,Azumarill
Slowking-Galar,Enamorus,Baxcalibur,Zamazenta-*,Samurott-Hisui,Great Tusk
Dragapult,Great Tusk,Zapdos,Toxapex,Ting-Lu,Volcanion
Dragapult,Iron Valiant,Ting-Lu,Corviknight,Slowking-Galar,Great Tusk
Corviknight,Brambleghast,Kingambit,Great Tusk,Tornadus,Hoopa-Unbound
Dragapult,Heatran,Great Tusk,Ting-Lu,Zapdos,Azumarill
Baxcalibur,Sandy Shocks,Dragonite,Iron Valiant,Gholdengo,Garganacl
Samurott-Hisui,Gholdengo,Slowking-Galar,Corviknight,Hydreigon,Dondozo
Volcanion,Corviknight,Urshifu-*,Dragapult,Heatran,Great Tusk
Glimmora,Baxcalibur,Enamorus,Iron Valiant,Amoonguss,Landorus-Therian
Dragapult,Iron Valiant,Slowking-Galar,Corviknight,Great Tusk,Volcanion
Hoopa-Unbound,Tornadus-Therian,Amoonguss,Urshifu-*,Tauros-Paldea-Blaze,Iron Treads
Chien-Pao,Skeledirge,Iron Treads,Abomasnow,Zamazenta-*,Armarouge
Roaring Moon,Decidueye,Great Tusk,Iron Valiant,Slowking,Magnezone
Clodsire,Corviknight,Dragapult,Great Tusk,Gholdengo,Iron Valiant
Cinderace,Rotom-Wash,Iron Valiant,Corviknight,Slowking,Hydreigon
Hatterene,Ting-Lu,Dragapult,Corviknight,Great Tusk,Gholdengo
Gholdengo,Clodsire,Great Tusk,Rotom-Wash,Dragapult,Tauros-Paldea-Blaze
Greninja,Iron Moth,Great Tusk,Dragonite,Gholdengo,Chien-Pao
Clodsire,Corviknight,Dragapult,Great Tusk,Gholdengo,Iron Valiant
Kingambit,Quaquaval,Dragonite,Iron Valiant,Glimmora,Gholdengo
Ting-Lu,Dragapult,Corviknight,Great Tusk,Gholdengo,Iron Valiant
Walking Wake,Kingambit,Dragonite,Roaring Moon,Dragapult,Garchomp
Iron Valiant,Great Tusk,Cinderace,Roaring Moon,Kingambit,Dragapult
Corviknight,Great Tusk,Gholdengo,Clodsire,Dragapult,Rotom-Wash
Dragapult,Gholdengo,Tauros-Paldea-Blaze,Great Tusk,Clodsire,Rotom-Wash
Dragapult,Houndoom,Glimmora,Dragonite,Armarouge,Kingambit
Cinderace,Amoonguss,Great Tusk,Slowking,Iron Valiant,Kingambit
Baxcalibur,Walking Wake,Toedscruel,Iron Moth,Iron Valiant,Great Tusk
Landorus-Therian,Urshifu-*,Magearna,Ursaluna,Zapdos,Dragapult
Hoopa-Unbound,Tornadus-Therian,Amoonguss,Urshifu-*,Tauros-Paldea-Blaze,Iron Treads
Gholdengo,Clodsire,Great Tusk,Rotom-Wash,Dragapult,Tauros-Paldea-Blaze
Grimmsnarl,Orthworm,Espathra,Great Tusk,Iron Valiant,Dragonite
Chien-Pao,Dragapult,Rotom-Wash,Gholdengo,Garchomp,Great Tusk
Great Tusk,Kingambit,Glimmora,Breloom,Iron Valiant,Magnezone
Gholdengo,Clodsire,Great Tusk,Rotom-Wash,Dragapult,Tauros-Paldea-Blaze
Grimmsnarl,Orthworm,Espathra,Great Tusk,Iron Valiant,Dragonite
Dragapult,Gholdengo,Tauros-Paldea-Blaze,Great Tusk,Clodsire,Rotom-Wash
Gholdengo,Qwilfish,Great Tusk,Dragonite,Hatterene,Dragapult
Iron Valiant,Great Tusk,Dragapult,Gholdengo,Kingambit,Rotom-Wash
Clodsire,Gholdengo,Blissey,Alomomola,Corviknight,Tauros-Paldea-Fire
Orthworm,Dragonite,Roaring Moon,Great Tusk,Espathra,Breloom
Dragapult,Gholdengo,Great Tusk,Kingambit,Cinderace,Rotom-Wash
Iron Moth,Dragapult,Hatterene,Ting-Lu,Corviknight,Dondozo
Great Tusk,Glimmora,Azumarill,Gholdengo,Corviknight,Cinderace
Chien-Pao,Glimmora,Iron Valiant,Gholdengo,Ting-Lu,Rotom-Wash
Iron Valiant,Great Tusk,Dragapult,Gholdengo,Clodsire,Corviknight
Skeledirge,Rotom-Wash,Dragapult,Great Tusk,Toxapex,Scizor
Gholdengo,Clodsire,Great Tusk,Rotom-Wash,Dragapult,Tauros-Paldea-Blaze
Gholdengo,Dragapult,Great Tusk,Kingambit,Glimmora,Garganacl
Toxapex,Amoonguss,Arboliva,Ditto,Staraptor,Zangoose
Chien-Pao,Dragapult,Rotom-Wash,Gholdengo,Garchomp,Great Tusk
Scizor,Meowscarada,Rotom-Wash,Amoonguss,Great Tusk,Ting-Lu
Annihilape,Dragapult,Gholdengo,Palossand,Mimikyu,Ceruledge
Annihilape,Breloom,Cyclizar,Meowscarada,Garganacl,Corviknight
Dondozo,Clodsire,Garganacl,Talonflame,Great Tusk,Blissey
Gholdengo,Great Tusk,Corviknight,Amoonguss,Garchomp,Iron Valiant
Iron Valiant,Great Tusk,Cyclizar,Garganacl,Toxapex,Gholdengo
Gholdengo,Great Tusk,Ting-Lu,Azumarill,Annihilape,Amoonguss
Pincurchin,Iron Valiant,Glimmora,Iron Thorns,Grimmsnarl,Annihilape
Toxapex,Gholdengo,Great Tusk,Iron Valiant,Corviknight,Chi-Yu
Cinderace,Hatterene,Breloom,Ting-Lu,Gholdengo,Dragonite
Chi-Yu,Iron Valiant,Great Tusk,Gholdengo,Toxapex,Ting-Lu
Iron Valiant,Chien-Pao,Glimmora,Ting-Lu,Rotom-Wash,Gholdengo
Chi-Yu,Iron Valiant,Great Tusk,Gholdengo,Toxapex,Ting-Lu
Chien-Pao,Dragapult,Rotom-Wash,Gholdengo,Garchomp,Great Tusk
Gholdengo,Great Tusk,Dragapult,Rotom-Wash,Cinderace,Kingambit
Gholdengo,Great Tusk,Amoonguss,Iron Valiant,Chien-Pao,Ting-Lu
Staraptor,Gholdengo,Great Tusk,Garganacl,Dragapult,Volcarona
Froslass,Annihilape,Ceruledge,Dragapult,Gholdengo,Brambleghast
Volcarona,Roaring Moon,Rotom-Heat,Lycanroc-Dusk,Donphan,Gholdengo
Pelipper,Barraskewda,Great Tusk,Scizor,Dragonite,Quaquaval
Chi-Yu,Iron Valiant,Great Tusk,Gholdengo,Toxapex,Ting-Lu
Espathra,Gyarados,Iron Moth,Sandaconda,Cyclizar,Baxcalibur
Dragapult,Gholdengo,Great Tusk,Amoonguss,Ting-Lu,Azumarill
Dondozo,Gholdengo,Great Tusk,Garganacl,Skeledirge,Iron Moth
Chi-Yu,Iron Valiant,Great Tusk,Gholdengo,Toxapex,Ting-Lu
Gliscor,Clefable,Dondozo,Tornadus-Therian,Toxapex,Blissey
Glimmora,Kingambit,Manaphy,Ogerpon-Hearthflame,Iron Valiant,Dragonite
Dragapult,Gholdengo,Great Tusk,Amoonguss,Roaring Moon,Azumarill
Blissey,Amoonguss,Toxapex,Corviknight,Ting-Lu,Skeledirge
Cinderace,Great Tusk,Gholdengo,Iron Valiant,Rotom-Wash,Roaring Moon
Dragapult,Gholdengo,Great Tusk,Amoonguss,Ting-Lu,Azumarill
Seviper,Dragonite,Chien-Pao,Flamigo,Scizor,Iron Treads
Cinderace,Great Tusk,Ting-Lu,Dragapult,Corviknight,Iron Valiant
Kingambit,Ninetales-Alola,Glimmora,Great Tusk,Cresselia,Kommo-o
Gliscor,Clefable,Dondozo,Tornadus-Therian,Toxapex,Blissey
Glimmora,Iron Valiant,Gholdengo,Iron Moth,Kingambit,Dragapult
Kingambit,Ninetales-Alola,Glimmora,Great Tusk,Cresselia,Kommo-o
Baxcalibur,Great Tusk,Ting-Lu,Dondozo,Zapdos,Scizor
Ninetales-Alola,Baxcalibur,Rillaboom,Cinderace,Manaphy,Kingambit
Ninetales-Alola,Baxcalibur,Rillaboom,Cinderace,Manaphy,Kingambit
Samurott-Hisui,Sandy Shocks,Pelipper,Barraskewda,Goodra-Hisui,Dondozo
Ribombee,Great Tusk,Gholdengo,Manaphy,Kingambit,Iron Moth
Ting-Lu,Iron Valiant,Clodsire,Dragonite,Gholdengo,Great Tusk
Rillaboom,Armarouge,Ogerpon-Cornerstone,Roaring Moon,Iron Treads,Sneasler
Glimmora,Zamazenta-*,Kingambit,Ogerpon-Wellspring,Iron Moth,Iron Valiant
Grimmsnarl,Annihilape,Glimmora,Espathra,Azumarill,Volcarona
Iron Hands,Chi-Yu,Dragonite,Espathra,Annihilape,Gholdengo
Palafin,Scizor,Ting-Lu,Amoonguss,Gholdengo,Dragonite
Quaquaval,Garchomp,Gholdengo,Tauros-Paldea-Fire,Sylveon,Sandy Shocks
Kingambit,Sneasler,Ogerpon-Wellspring,Great Tusk,Glimmora,Enamorus
Ribombee,Great Tusk,Gholdengo,Manaphy,Kingambit,Iron Moth
Ribombee,Manaphy,Kingambit,Great Tusk,Iron Moth,Gholdengo
Ribombee,Ogerpon-Wellspring,Great Tusk,Gholdengo,Iron Valiant,Kingambit
Ribombee,Ogerpon-Wellspring,Great Tusk,Gholdengo,Iron Valiant,Kingambit
Gliscor,Moltres,Toxapex,Cyclizar,Blissey,Clodsire
