pokedex_number,name,generation,classfication,abilities,height_m,weight_kg,type1,type2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,base_egg_steps,base_happiness,is_legendary,is_mythical,is_mega
233,Porygon2,2,Virtual Pokemon,"['Trace', 'Download', 'Analytic']",0.59999999999999987,32.5,Normal,,515,85,80,90,105,95,60,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,5140,70,0,0,0
234,Stantler,2,Big Horn Pokemon,"['Intimidate', 'Frisk', 'Sap Sipper']",1.3999999999999999,71.200000000000003,Normal,,465,73,95,62,85,65,85,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,5140,70,0,0,0
235,Smeargle,2,Painter Pokemon,"['Own Tempo', 'Technician', 'Moody']",1.2,58,Normal,,250,55,20,35,20,45,75,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,5140,70,0,0,0
236,Tyrogue,2,Scuffle Pokemon,"['Guts', 'Steadfast', 'Vital Spirit']",0.69999999999999984,21,Fighting,,210,35,35,35,35,35,35,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75,6425,70,0,0,0
237,Hitmontop,2,Handstand Pokemon,"['Intimidate', 'Technician', 'Steadfast']",1.3999999999999999,48,Fighting,,455,50,95,95,35,110,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,6425,70,0,0,0
238,Smoochum,2,Kiss Pokemon,"['Oblivious', 'Forewarn', 'Hydration']",0.40000000000000002,6,Ice,Psychic,305,45,30,15,85,65,65,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,45,6425,70,0,0,0
239,Elekid,2,Electric Pokemon,"['Static', 'Vital Spirit']",0.59999999999999987,23.5,Electric,,360,45,63,37,65,55,95,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,6425,70,0,0,0
240,Magby,2,Live Coal Pokemon,"['Flame Body', 'Vital Spirit']",0.69999999999999984,21.399999999999999,Fire,,365,45,75,37,70,55,83,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,6425,70,0,0,0
241,Miltank,2,Milk Cow Pokemon,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.2,75.5,Normal,,490,95,80,105,40,70,100,1,1,1,1,1,2,0.5,1,0,1,1,0.5,1,1,1,1,1,1,45,5140,70,0,0,0
242,Blissey,2,Happiness Pokemon,"['Natural Cure', 'Serene Grace', 'Healer']",1.5,46.799999999999997,Normal,,540,255,10,10,75,135,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,10280,140,0,0,0
243,Raikou,2,Thunder Pokemon,"['Pressure', 'Inner Focus']",1.8999999999999999,178,Electric,,580,90,85,75,115,100,115,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,3,20560,35,1,0,0
244,Entei,2,Volcano Pokemon,"['Pressure', 'Inner Focus']",2.1000000000000001,198,Fire,,580,115,115,85,90,75,100,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,3,20560,35,1,0,0
245,Suicune,2,Aurora Pokemon,"['Pressure', 'Inner Focus']",2,187,Water,,580,100,75,115,90,115,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,3,20560,35,1,0,0
246,Larvitar,2,Rock Skin Pokemon,"['Guts', 'Sand Veil']",0.59999999999999987,72,Rock,Ground,300,50,64,50,45,50,41,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,10280,35,0,0,0
247,Pupitar,2,Hard Shell Pokemon,['Shed Skin'],1.2,152,Rock,Ground,410,70,84,70,65,70,51,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,10280,35,0,0,0
248,Tyranitar,2,Armor Pokemon,"['Sand Stream', 'Unnerve']",2,202,Rock,Dark,600,100,134,110,95,100,61,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,45,10280,35,0,0,0
248,Tyranitar-Mega,2,Armor Pokemon,['Sand Stream'],2.5,255,Rock,Dark,700,100,164,150,95,120,71,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,45,10280,35,0,0,1
249,Lugia,2,Diving Pokemon,"['Pressure', 'Multiscale']",5.2000000000000002,216,Psychic,Flying,680,106,90,130,90,154,110,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,3,30840,0,1,0,0
250,Ho-oh,2,Rainbow Pokemon,"['Pressure', 'Regenerator']",3.7999999999999998,199,Fire,Flying,680,106,130,90,110,154,90,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,3,30840,0,1,0,0
251,Celebi,2,Time Travel Pokemon,['Natural Cure'],0.59999999999999987,5,Psychic,Grass,600,100,100,100,100,100,100,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,45,30840,100,0,1,0
252,Treecko,3,Wood Gecko Pokemon,"['Overgrow', 'Unburden']",0.5,5,Grass,,310,40,45,35,65,55,70,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5140,70,0,0,0
253,Grovyle,3,Wood Gecko Pokemon,"['Overgrow', 'Unburden']",0.90000000000000002,21.600000000000001,Grass,,405,50,65,45,85,65,95,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5140,70,0,0,0
254,Sceptile,3,Forest Pokemon,"['Overgrow', 'Unburden']",1.7,52.200000000000003,Grass,,530,70,85,65,105,85,120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5140,70,0,0,0
254,Sceptile-Mega,3,Forest Pokemon,['Lightning Rod'],1.8999999999999999,55.200000000000003,Grass,Dragon,630,70,110,75,145,85,145,2,1,2,0,2,1,1,2,1,0.25,0.5,4,1,2,1,1,1,0.25,45,5140,70,0,0,1
255,Torchic,3,Chick Pokemon,"['Blaze', 'Speed Boost']",0.40000000000000002,2.5,Fire,,310,45,60,40,70,50,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,5140,70,0,0,0
256,Combusken,3,Young Fowl Pokemon,"['Blaze', 'Speed Boost']",0.90000000000000002,19.5,Fire,Fighting,405,60,85,60,85,60,55,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,45,5140,70,0,0,0
257,Blaziken,3,Blaze Pokemon,"['Blaze', 'Speed Boost']",1.8999999999999999,52,Fire,Fighting,530,80,120,70,110,70,80,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,45,5140,70,0,0,0
257,Blaziken-Mega,3,Blaze Pokemon,['Speed Boost'],1.8999999999999999,52,Fire,Fighting,630,80,160,80,130,80,100,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,45,5140,70,0,0,1
258,Mudkip,3,Mud Fish Pokemon,"['Torrent', 'Damp']",0.40000000000000002,7.5999999999999988,Water,,310,50,70,50,50,50,40,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5140,70,0,0,0
259,Marshtomp,3,Mud Fish Pokemon,"['Torrent', 'Damp']",0.69999999999999984,28,Water,Ground,405,70,85,70,60,70,50,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5140,70,0,0,0
260,Swampert,3,Mud Fish Pokemon,"['Torrent', 'Damp']",1.5,81.900000000000006,Water,Ground,535,100,110,90,85,90,60,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5140,70,0,0,0
260,Swampert-Mega,3,Mud Fish Pokemon,['Swift Swim'],1.8999999999999999,102,Water,Ground,635,100,150,110,95,110,70,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5140,70,0,0,1
261,Poochyena,3,Bite Pokemon,"['Run Away', 'Quick Feet', 'Rattled']",0.5,13.6,Dark,,220,35,55,35,30,30,35,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,255,3855,70,0,0,0
262,Mightyena,3,Bite Pokemon,"['Intimidate', 'Quick Feet', 'Moxie']",1,37,Dark,,420,70,90,70,60,60,70,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,127,3855,70,0,0,0
263,Zigzagoon,3,TinyRaccoon Pokemon,"['Pickup', 'Gluttony', 'Quick Feet']",0.40000000000000002,17.5,Normal,,240,38,30,41,30,41,60,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,3855,70,0,0,0
263,Zigzagoon-Galar,3,Tiny Raccoon Pokemon,"['Pickup', 'Gluttony', 'Quick Feet']",0.40000000000000002,17.5,Dark,Normal,240,38,30,41,30,41,60,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1,255,3855,70,0,0,0
264,Linoone,3,Rushing Pokemon,"['Pickup', 'Gluttony', 'Quick Feet']",0.5,32.5,Normal,,420,78,70,61,50,61,100,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,3855,70,0,0,0
264,Linoone-Galar,3,Rushing Pokemon,"['Pickup', 'Gluttony', 'Quick Feet']",0.5,32.5,Dark,Normal,420,78,70,61,50,61,100,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1,90,3855,70,0,0,0
265,Wurmple,3,Worm Pokemon,"['Shield Dust', 'Run Away']",0.29999999999999988,3.6000000000000001,Bug,,195,45,45,35,20,30,20,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,255,3855,70,0,0,0
266,Silcoon,3,Cocoon Pokemon,['Shed Skin'],0.59999999999999987,10,Bug,,205,50,35,55,25,25,15,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,120,3855,70,0,0,0
267,Beautifly,3,Butterfly Pokemon,"['Swarm', 'Rivalry']",1,28.399999999999999,Bug,Flying,395,60,70,50,100,50,65,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3855,70,0,0,0
268,Cascoon,3,Cocoon Pokemon,['Shed Skin'],0.69999999999999984,11.5,Bug,,205,50,35,55,25,25,15,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,120,3855,70,0,0,0
269,Dustox,3,Poison Moth Pokemon,"['Shield Dust', 'Compound Eyes']",1.2,31.600000000000001,Bug,Poison,385,60,50,70,50,90,65,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,3855,70,0,0,0
270,Lotad,3,Water Weed Pokemon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",0.5,2.6000000000000001,Water,Grass,220,40,30,30,40,50,30,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,255,3855,70,0,0,0
271,Lombre,3,Jolly Pokemon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",1.2,32.5,Water,Grass,340,60,50,50,60,70,50,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,120,3855,70,0,0,0
272,Ludicolo,3,Carefree Pokemon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",1.5,55,Water,Grass,480,80,70,70,90,100,70,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,45,3855,70,0,0,0
273,Seedot,3,Acorn Pokemon,"['Chlorophyll', 'Early Bird', 'Pickpocket']",0.5,4,Grass,,220,40,40,50,30,30,30,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,255,3855,70,0,0,0
274,Nuzleaf,3,Wily Pokemon,"['Chlorophyll', 'Early Bird', 'Pickpocket']",1,28,Grass,Dark,340,70,70,40,60,40,60,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,120,3855,70,0,0,0
275,Shiftry,3,Wicked Pokemon,"['Chlorophyll', 'Early Bird', 'Pickpocket']",1.3,59.600000000000001,Grass,Dark,480,90,100,60,90,60,80,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,45,3855,70,0,0,0
276,Taillow,3,TinySwallow Pokemon,"['Guts', 'Scrappy']",0.29999999999999988,2.2999999999999998,Normal,Flying,270,40,55,30,30,30,85,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,200,3855,70,0,0,0
277,Swellow,3,Swallow Pokemon,"['Guts', 'Scrappy']",0.69999999999999984,19.800000000000001,Normal,Flying,455,60,85,60,75,50,125,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3855,70,0,0,0
278,Wingull,3,Seagull Pokemon,"['Keen Eye', 'Hydration', 'Rain Dish']",0.59999999999999987,9.5,Water,Flying,270,40,30,30,55,30,85,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,190,5140,70,0,0,0
279,Pelipper,3,Water Bird Pokemon,"['Keen Eye', 'Drizzle', 'Rain Dish']",1.2,28,Water,Flying,440,60,50,100,95,70,65,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,45,5140,70,0,0,0
280,Ralts,3,Feeling Pokemon,"['Synchronize', 'Trace', 'Telepathy']",0.40000000000000002,6.5999999999999996,Psychic,Fairy,198,28,25,25,45,35,40,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,235,5140,35,0,0,0
281,Kirlia,3,Emotion Pokemon,"['Synchronize', 'Trace', 'Telepathy']",0.80000000000000004,20.199999999999999,Psychic,Fairy,278,38,35,35,65,55,50,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,120,5140,35,0,0,0
282,Gardevoir,3,Embrace Pokemon,"['Synchronize', 'Trace', 'Telepathy']",1.6000000000000001,48.399999999999999,Psychic,Fairy,518,68,65,65,125,115,80,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,5140,35,0,0,0
282,Gardevoir-Mega,3,Embrace Pokemon,['Pixilate'],1.6000000000000001,48.399999999999999,Psychic,Fairy,618,68,85,65,165,135,100,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,5140,35,0,0,1
283,Surskit,3,Pond Skater Pokemon,"['Swift Swim', 'Rain Dish']",0.5,1.7,Bug,Water,269,40,30,32,50,52,65,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,200,3855,70,0,0,0
284,Masquerain,3,Eyeball Pokemon,"['Intimidate', 'Unnerve']",0.80000000000000004,3.6000000000000001,Bug,Flying,454,70,60,62,100,82,80,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,75,3855,70,0,0,0
285,Shroomish,3,Mushroom Pokemon,"['Effect Spore', 'Poison Heal', 'Quick Feet']",0.40000000000000002,4.5,Grass,,295,60,40,60,40,60,35,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,255,3855,70,0,0,0
286,Breloom,3,Mushroom Pokemon,"['Effect Spore', 'Poison Heal', 'Technician']",1.2,39.200000000000003,Grass,Fighting,460,60,130,80,60,60,70,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,90,3855,70,0,0,0
287,Slakoth,3,Slacker Pokemon,['Truant'],0.80000000000000004,24,Normal,,280,60,60,60,35,35,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,3855,70,0,0,0
288,Vigoroth,3,Wild Monkey Pokemon,['Vital Spirit'],1.3999999999999999,46.5,Normal,,440,80,80,80,55,55,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,120,3855,70,0,0,0
289,Slaking,3,Lazy Pokemon,['Truant'],2,130.5,Normal,,670,150,160,100,95,65,100,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,3855,70,0,0,0
290,Nincada,3,Trainee Pokemon,"['Compound Eyes', 'Run Away']",0.5,5.5,Bug,Ground,266,31,45,90,30,30,40,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,255,3855,70,0,0,0
291,Ninjask,3,Ninja Pokemon,"['Speed Boost', 'Infiltrator']",0.80000000000000004,12,Bug,Flying,456,61,90,45,50,50,160,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,120,3855,70,0,0,0
292,Shedinja,3,Shed Pokemon,['Wonder Guard'],0.80000000000000004,1.2,Bug,Ghost,236,1,90,45,30,30,40,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,45,3855,70,0,0,0
293,Whismur,3,Whisper Pokemon,"['Soundproof', 'Rattled']",0.59999999999999987,16.300000000000001,Normal,,240,64,51,23,51,23,28,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,190,5140,70,0,0,0
294,Loudred,3,Big Voice Pokemon,"['Soundproof', 'Scrappy']",1,40.5,Normal,,360,84,71,43,71,43,48,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,120,5140,70,0,0,0
295,Exploud,3,Loud Noise Pokemon,"['Soundproof', 'Scrappy']",1.5,84,Normal,,490,104,91,63,91,73,68,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,5140,70,0,0,0
296,Makuhita,3,Guts Pokemon,"['Thick Fat', 'Guts', 'Sheer Force']",1,86.400000000000006,Fighting,,237,72,60,30,20,30,25,0.5,0.5,1,1,2,1,0.5,2,1,1,1,0.5,1,1,2,0.5,1,1,180,5140,70,0,0,0
297,Hariyama,3,Arm Thrust Pokemon,"['Thick Fat', 'Guts', 'Sheer Force']",2.2999999999999998,253.80000000000001,Fighting,,474,144,120,60,40,60,50,0.5,0.5,1,1,2,1,0.5,2,1,1,1,0.5,1,1,2,0.5,1,1,200,5140,70,0,0,0
298,Azurill,3,Polka Dot Pokemon,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.20000000000000001,2,Normal,Fairy,190,50,20,40,20,40,20,0.5,0.5,0,1,1,1,0.5,1,0,1,1,0.5,1,2,1,1,2,1,150,2570,70,0,0,0
299,Nosepass,3,Compass Pokemon,"['Sturdy', 'Magnet Pull', 'Sand Force']",1,97,Rock,,375,30,45,135,45,90,30,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,255,5140,70,0,0,0
300,Skitty,3,Kitten Pokemon,"['Cute Charm', 'Normalize', 'Wonder Skin']",0.59999999999999987,11,Normal,,260,50,45,45,35,35,50,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,3855,70,0,0,0
301,Delcatty,3,Prim Pokemon,"['Cute Charm', 'Normalize', 'Wonder Skin']",1.1000000000000001,32.600000000000001,Normal,,400,70,65,65,55,55,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3855,70,0,0,0
302,Sableye,3,Darkness Pokemon,"['Keen Eye', 'Stall', 'Prankster']",0.5,11,Dark,Ghost,380,50,75,75,65,65,50,1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,45,6425,35,0,0,0
302,Sableye-Mega,3,Darkness Pokemon,['Magic Bounce'],0.5,161,Dark,Ghost,480,50,85,125,85,115,20,1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,45,6425,35,0,0,1
303,Mawile,3,Deceiver Pokemon,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",0.59999999999999987,11.5,Steel,Fairy,380,50,85,85,55,55,50,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1,45,5140,70,0,0,0
303,Mawile-Mega,3,Deceiver Pokemon,['Huge Power'],1,23.5,Steel,Fairy,480,50,105,125,55,95,50,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1,45,5140,70,0,0,1
304,Aron,3,Iron Armor Pokemon,"['Sturdy', 'Rock Head', 'Heavy Metal']",0.40000000000000002,60,Steel,Rock,330,50,70,100,40,40,30,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,180,8995,35,0,0,0
305,Lairon,3,Iron Armor Pokemon,"['Sturdy', 'Rock Head', 'Heavy Metal']",0.90000000000000002,120,Steel,Rock,430,60,90,140,50,50,40,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,90,8995,35,0,0,0
306,Aggron,3,Iron Armor Pokemon,"['Sturdy', 'Rock Head', 'Heavy Metal']",2.1000000000000001,360,Steel,Rock,530,70,110,180,60,60,50,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,45,8995,35,0,0,0
306,Aggron-Mega,3,Iron Armor Pokemon,['Filter'],2.2000000000000002,395,Steel,,630,70,140,230,60,80,50,0.5,1,0.5,1,0.5,1.5,1.5,0.5,1,0.5,1.5,0.5,0.5,0,0.5,0.5,0.5,1,45,8995,35,0,0,1
307,Meditite,3,Meditate Pokemon,"['Pure Power', 'Telepathy']",0.59999999999999987,11.199999999999999,Fighting,Psychic,280,30,40,55,40,55,60,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,180,5140,70,0,0,0
308,Medicham,3,Meditate Pokemon,"['Pure Power', 'Telepathy']",1.3,31.5,Fighting,Psychic,410,60,60,75,60,75,80,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,90,5140,70,0,0,0
308,Medicham-Mega,3,Meditate Pokemon,['Pure Power'],1.3,31.5,Fighting,Psychic,510,60,100,85,80,85,100,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,90,5140,70,0,0,1
309,Electrike,3,Lightning Pokemon,"['Static', 'Lightning Rod', 'Minus']",0.59999999999999987,15.199999999999999,Electric,,295,40,45,40,65,40,65,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,120,5140,70,0,0,0
310,Manectric,3,Discharge Pokemon,"['Static', 'Lightning Rod', 'Minus']",1.5,40.200000000000003,Electric,,475,70,75,60,105,60,105,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,5140,70,0,0,0
310,Manectric-Mega,3,Discharge Pokemon,['Intimidate'],1.8,44,Electric,,575,70,75,80,135,80,135,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,5140,70,0,0,1
311,Plusle,3,Cheering Pokemon,"['Plus', 'Lightning Rod']",0.40000000000000002,4.2000000000000002,Electric,,405,60,50,40,85,75,95,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,200,5140,70,0,0,0
312,Minun,3,Cheering Pokemon,"['Minus', 'Volt Absorb']",0.40000000000000002,4.2000000000000002,Electric,,405,60,40,50,75,85,95,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,200,5140,70,0,0,0
313,Volbeat,3,Firefly Pokemon,"['Illuminate', 'Swarm', 'Prankster']",0.69999999999999984,17.699999999999999,Bug,,430,65,73,75,47,85,85,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,150,3855,70,0,0,0
314,Illumise,3,Firefly Pokemon,"['Oblivious', 'Tinted Lens', 'Prankster']",0.59999999999999987,17.699999999999999,Bug,,430,65,47,75,73,85,85,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,150,3855,70,0,0,0
315,Roselia,3,Thorn Pokemon,"['Natural Cure', 'Poison Point', 'Leaf Guard']",0.29999999999999988,2,Grass,Poison,400,50,60,45,100,80,65,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,150,5140,70,0,0,0
316,Gulpin,3,Stomach Pokemon,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",0.40000000000000002,10.300000000000001,Poison,,302,70,43,53,43,53,40,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,225,5140,70,0,0,0
317,Swalot,3,Poison Bag Pokemon,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",1.7,80,Poison,,467,100,73,83,73,83,55,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,75,5140,70,0,0,0
318,Carvanha,3,Savage Pokemon,"['Rough Skin', 'Speed Boost']",0.80000000000000004,20.800000000000001,Water,Dark,305,45,90,20,65,20,65,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,225,5140,35,0,0,0
319,Sharpedo,3,Brutal Pokemon,"['Rough Skin', 'Speed Boost']",1.8,88.799999999999983,Water,Dark,460,70,120,40,95,40,95,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,60,5140,35,0,0,0
319,Sharpedo-Mega,3,Brutal Pokemon,['Strong Jaw'],2.5,130.30000000000001,Water,Dark,560,70,140,70,110,65,105,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,60,5140,35,0,0,1
320,Wailmer,3,Ball Whale Pokemon,"['Water Veil', 'Oblivious', 'Pressure']",2,130,Water,,400,130,70,35,70,35,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,125,10280,70,0,0,0
321,Wailord,3,Float Whale Pokemon,"['Water Veil', 'Oblivious', 'Pressure']",14.5,398,Water,,500,170,90,45,90,45,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,60,10280,70,0,0,0
322,Numel,3,Numb Pokemon,"['Oblivious', 'Simple', 'Own Tempo']",0.69999999999999984,24,Fire,Ground,305,60,60,40,65,45,35,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,255,5140,70,0,0,0
323,Camerupt,3,Eruption Pokemon,"['Magma Armor', 'Solid Rock', 'Anger Point']",1.8999999999999999,220,Fire,Ground,460,70,100,70,105,75,40,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,150,5140,70,0,0,0
323,Camerupt-Mega,3,Eruption Pokemon,['Sheer Force'],2.5,320.5,Fire,Ground,560,70,120,100,145,105,20,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,150,5140,70,0,0,1
324,Torkoal,3,Coal Pokemon,"['White Smoke', 'Drought', 'Shell Armor']",0.5,80.400000000000006,Fire,,470,70,85,140,85,70,20,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,90,5140,70,0,0,0
325,Spoink,3,Bounce Pokemon,"['Thick Fat', 'Own Tempo', 'Gluttony']",0.69999999999999984,30.600000000000001,Psychic,,330,60,25,35,70,80,60,2,2,1,1,1,0.5,0.5,1,2,1,1,0.5,1,1,0.5,1,1,1,255,5140,70,0,0,0
